,avg_temp,max_temp,min_temp,rel_humidity,total_rainfall,avg_visibility,avg_windspeed,max_windspeed,PM2.5,PM2.5_Predicted
0,23.4,30.3,19.0,59.0,0.0,6.3,4.3,5.4,284.79583333333335,284.7958333333336
1,22.4,30.3,16.9,57.0,0.0,6.9,3.3,7.6,219.72083333333333,172.36454761904798
2,24.0,31.8,16.9,51.0,0.0,6.9,2.8,5.4,182.1875,105.70476190476198
3,22.8,30.2,17.6,55.0,0.0,7.7,3.7,7.6,154.03750000000002,160.56704761904794
4,23.1,30.6,17.4,46.0,0.0,6.9,3.3,5.4,223.20833333333334,223.20833333333334
5,22.9,30.6,17.4,51.0,0.0,6.9,3.5,3.5,200.64583333333337,200.64583333333394
6,22.3,30.1,15.7,43.0,0.0,6.9,2.8,5.4,285.22499999999997,250.4683333333334
7,21.8,30.6,14.8,41.0,0.0,6.9,1.9,5.4,236.82499999999996,239.72976190476243
8,21.6,30.6,14.2,43.0,0.0,6.9,3.1,7.6,276.90833333333336,276.90833333333524
9,21.6,29.6,16.4,58.0,0.0,6.9,2.2,3.5,108.0,108.0
10,21.9,29.6,16.6,58.0,0.0,6.9,2.4,5.4,107.625,162.63885714285712
11,22.3,29.9,17.5,55.0,0.0,6.9,3.1,5.4,125.89166666666667,125.89166666666738
12,21.6,29.1,15.5,47.0,0.0,7.7,4.8,7.6,181.01250000000005,202.00361904761925
13,21.8,29.2,14.6,41.0,0.0,6.9,2.8,3.5,152.55416666666667,276.9148928571432
14,22.3,30.1,15.6,40.0,0.0,6.9,2.4,5.4,152.32083333333335,214.13766666666672
15,22.1,29.8,17.3,54.0,0.0,6.9,5.2,9.4,319.7375,122.81490476190476
16,21.6,29.2,15.3,51.0,0.0,6.9,3.9,5.4,332.7083333333333,332.7083333333318
17,21.4,29.2,15.2,45.0,0.0,6.9,2.8,5.4,279.59999999999997,272.6773333333332
18,21.8,29.6,14.4,37.0,0.0,7.4,2.2,3.5,179.11666666666667,223.20805952380968
19,24.6,32.2,18.8,55.0,0.0,6.9,2.2,3.5,54.791666666666664,54.79166666666663
20,24.6,32.2,21.0,63.0,0.51,5.5,3.9,9.4,93.375,94.47548809523813
21,23.9,31.6,19.0,51.0,0.0,6.6,5.9,9.4,103.0,103.0
22,24.5,31.5,18.9,49.0,0.0,6.9,4.8,9.4,132.20833333333334,132.2083333333337
23,23.9,31.5,19.7,64.0,0.0,6.3,5.2,9.4,127.70833333333333,86.07014285714287
24,24.3,31.4,20.2,68.0,0.0,6.9,3.5,5.4,109.33333333333333,64.02440476190476
25,24.8,31.8,20.5,62.0,0.0,6.3,2.0,5.4,56.458333333333336,84.155738095238
26,24.5,32.2,19.7,59.0,0.0,6.6,3.9,5.4,135.83333333333334,135.83333333333374
27,24.3,32.2,18.0,47.0,0.0,6.9,5.0,9.4,122.5,122.5
28,24.1,33.4,15.9,29.0,0.0,7.7,3.5,5.4,69.66666666666667,117.24126190476198
29,24.7,32.4,16.3,30.0,0.0,6.9,5.0,9.4,79.83333333333333,126.4819761904761
30,24.7,32.4,16.9,32.0,0.0,6.9,0.9,3.5,62.708333333333336,132.56011904761914
31,25.5,33.0,18.5,26.0,0.0,6.9,3.9,5.4,21.208333333333332,21.20833333333323
32,25.5,33.0,18.9,34.0,0.0,6.9,4.6,7.6,1.9166666666666667,123.7309523809523
33,25.3,33.2,18.5,31.0,0.0,6.9,3.5,5.4,1.8333333333333333,1.8333333333333348
34,24.0,30.4,21.0,71.0,0.0,6.3,5.2,5.4,105.83333333333333,105.83333333333319
35,25.4,32.0,20.0,56.0,0.51,6.9,3.5,5.4,117.58333333333333,80.16154761904767
36,25.8,34.1,20.3,51.0,0.0,6.6,1.5,3.5,122.70833333333333,122.70833333333353
37,27.1,34.8,20.2,30.0,0.0,6.9,3.1,5.4,111.95833333333333,91.63892857142861
38,26.8,34.7,20.7,34.0,0.0,6.9,2.4,5.4,59.208333333333336,97.35214285714305
39,25.3,34.2,18.9,40.0,0.0,6.9,3.9,5.4,77.20833333333333,77.208333333333
40,26.9,34.6,19.9,37.0,0.0,6.9,5.0,5.4,98.70833333333333,74.6714285714286
41,27.1,34.6,20.4,39.0,0.0,6.9,5.0,7.6,123.70833333333333,87.73523809523806
42,26.8,34.5,20.5,32.0,0.0,6.9,4.6,7.6,64.79166666666667,94.57785714285714
43,28.1,34.8,21.3,44.0,0.0,6.3,3.9,7.6,52.333333333333336,52.33333333333342
44,28.8,35.4,23.2,44.0,0.0,6.9,4.3,5.4,52.041666666666664,52.04166666666657
45,28.5,35.8,22.9,39.0,0.0,6.9,3.7,7.6,128.33333333333334,128.33333333333363
46,28.1,36.5,22.4,57.0,0.0,6.9,3.1,5.4,0.0,0.0
47,27.2,36.5,20.7,58.0,11.94,6.9,4.3,7.6,23.208333333333332,23.208333333333215
48,26.9,34.9,22.2,54.0,0.0,6.9,5.0,11.1,15.166666666666666,15.16666666666669
49,27.8,34.9,22.1,58.0,1.02,6.9,3.5,7.6,21.25,21.25
50,29.9,36.8,23.3,41.0,0.0,6.9,3.7,7.6,81.83333333333333,81.83333333333296
51,29.4,36.8,24.4,44.0,0.0,6.9,2.0,7.6,105.33333333333333,105.33333333333316
52,29.6,36.0,24.5,42.0,0.0,6.9,3.9,7.6,117.75,117.75
53,27.7,36.2,21.4,42.0,0.0,6.9,3.5,3.5,84.5,92.82130952380955
54,29.2,35.9,23.1,50.0,0.0,6.9,3.9,7.6,46.916666666666664,85.87416666666668
55,28.2,35.8,22.5,50.0,0.0,6.9,5.0,7.6,110.875,56.147142857142875
56,28.9,35.7,23.3,45.0,0.0,6.9,3.5,5.4,42.958333333333336,42.95833333333354
57,28.2,35.7,22.6,53.0,0.0,6.9,4.6,5.4,0.0,0.0
58,28.4,34.7,23.3,54.0,0.0,6.9,3.3,5.4,120.875,120.875
59,28.2,34.5,24.4,56.0,0.0,6.9,3.0,5.4,79.91666666666667,79.91666666666703
