,Unnamed: 0,day,avg_temp,max_temp,min_temp,rel_humidity,total_rainfall,avg_visibility,avg_windspeed,max_windspeed,PM2.5
0,0,1.0,23.4,30.3,19.0,59.0,0.0,6.3,4.3,5.4,
1,1,2.0,22.4,30.3,16.9,57.0,0.0,6.9,3.3,7.6,
2,2,3.0,24.0,31.8,16.9,51.0,0.0,6.9,2.8,5.4,
3,3,4.0,,,,,,,,,
4,4,5.0,,,,,,,,,
5,5,6.0,,,,,,,,,
6,6,7.0,22.8,30.2,17.6,55.0,0.0,7.7,3.7,7.6,
7,7,8.0,23.1,30.6,17.4,46.0,0.0,6.9,3.3,5.4,
8,8,9.0,22.9,30.6,17.4,51.0,0.0,6.9,3.5,3.5,
9,9,10.0,,,,,,,,,
10,10,11.0,,,,,,,,,
11,11,12.0,,,,,,,,,
12,12,13.0,22.3,30.1,15.7,43.0,0.0,6.9,2.8,5.4,
13,13,14.0,21.8,30.6,14.8,41.0,0.0,6.9,1.9,5.4,
14,14,15.0,21.6,30.6,14.2,43.0,0.0,6.9,3.1,7.6,
15,15,16.0,,,,,,,,,
16,16,17.0,,,,,,,,,
17,17,18.0,,,,,,,,,
18,18,19.0,21.6,29.6,16.4,58.0,0.0,6.9,2.2,3.5,
19,19,20.0,21.9,29.6,16.6,58.0,0.0,6.9,2.4,5.4,
20,20,21.0,22.3,29.9,17.5,55.0,0.0,6.9,3.1,5.4,
21,21,22.0,,,,,,,,,
22,22,23.0,,,,,,,,,
23,23,24.0,,,,,,,,,
24,24,25.0,21.6,29.1,15.5,47.0,0.0,7.7,4.8,7.6,
25,25,26.0,21.8,29.2,14.6,41.0,0.0,6.9,2.8,3.5,
26,26,27.0,22.3,30.1,15.6,40.0,0.0,6.9,2.4,5.4,
27,27,28.0,,,,,,,,,
28,28,29.0,,,,,,,,,
29,29,30.0,,,,,,,,,
30,30,31.0,22.1,29.8,17.3,54.0,0.0,6.9,5.2,9.4,
31,31,1.0,21.6,29.2,15.3,51.0,0.0,6.9,3.9,5.4,
32,32,2.0,21.4,29.2,15.2,45.0,0.0,6.9,2.8,5.4,
33,33,3.0,21.8,29.6,14.4,37.0,0.0,7.4,2.2,3.5,
34,34,4.0,,,,,,,,,
35,35,5.0,,,,,,,,,
36,36,6.0,,,,,,,,,
37,37,7.0,24.6,32.2,18.8,55.0,0.0,6.9,2.2,3.5,
38,38,8.0,24.6,32.2,21.0,63.0,0.51,5.5,3.9,9.4,
39,39,9.0,23.9,31.6,19.0,51.0,0.0,6.6,5.9,9.4,
40,40,10.0,,,,,,,,,
41,41,11.0,,,,,,,,,
42,42,12.0,,,,,,,,,
43,43,13.0,24.5,31.5,18.9,49.0,0.0,6.9,4.8,9.4,
44,44,14.0,23.9,31.5,19.7,64.0,0.0,6.3,5.2,9.4,
45,45,15.0,24.3,31.4,20.2,68.0,0.0,6.9,3.5,5.4,
46,46,16.0,,,,,,,,,
47,47,17.0,,,,,,,,,
48,48,18.0,,,,,,,,,
49,49,19.0,24.8,31.8,20.5,62.0,0.0,6.3,2.0,5.4,
50,50,20.0,24.5,32.2,19.7,59.0,0.0,6.6,3.9,5.4,
51,51,21.0,24.3,32.2,18.0,47.0,0.0,6.9,5.0,9.4,
52,52,22.0,,,,,,,,,
