Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43
